101, Laptop Dell Inspiron 15     ,  25, 8500.00, 12500.00
105, Mouse Logitech Inalámbrico  , 150,  180.00,   350.00
110, Teclado Mecánico RGB        ,  80,  650.00,  1200.00
115, Monitor Samsung 24 pulgadas ,  40, 2800.00,  4500.00
120, Memoria USB 64GB            , 200,  120.00,   250.00
125, Disco Duro Externo 1TB      ,  60,  850.00,  1400.00
130, Audífonos Sony Bluetooth    ,  95, 1200.00,  2100.00
135, Webcam Logitech HD          ,  45,  550.00,   980.00
140, Cable HDMI 2 metros         , 180,   45.00,    95.00
145, Hub USB 4 puertos           ,  70,  220.00,   420.00
150, Adaptador USB-C a HDMI      ,  85,  280.00,   520.00
155, Mousepad Gamer XXL          , 120,  150.00,   320.00
160, Soporte para Laptop         ,  55,  380.00,   720.00
165, Lámpara LED Escritorio      ,  65,  420.00,   780.00
170, Bocinas Bluetooth Portátil  ,  88,  950.00,  1650.00
175, Cámara Web 4K               ,  30, 2200.00,  3800.00
180, Micrófono Condensador       ,  42, 1800.00,  3200.00
185, Base Enfriadora Laptop      ,  75,  380.00,   680.00
190, Cable USB-C 1 metro         , 140,   65.00,   145.00
195, Protector Pantalla Laptop 15, 110,   95.00,   210.00
200, Estuche para Laptop 15      ,  90,  250.00,   480.00